종목코드,현재가,등락률,20MA,거래량비율,RSI,60봉최다고가상승률
7296,3355,-0.3,3477,192,32.41,9.59
7305,2700,0.56,2745,84,40.23,5.81
7309,16295,0.09,16332,161,50.38,3.91
7313,1818,0.44,1845,157,38.42,3.14
7322,1565,3.47,1511,205,52.17,9.75
7327,2015,1.46,1987,206,47.64,7.62
7337,1821,0.44,1816,214,47.38,6.56
7350,5590,1.82,5512,222,50.65,9.88
7354,307,0.99,303,88,48.39,16.78
7358,1455,0.28,1432,109,56.72,6.1
7366,1235,0.16,1299,52,34.6,5.73
7370,794,1.66,796,43,40.24,5.17
7373,1748,2.4,1793,61,34.68,7.21
7380,1872,2.52,1852,185,48.24,8.53
7381,985,1.44,978,144,45.41,8.61
7383,361,1.4,439,99,20.21,17.32
7384,3145,-0.32,3058,206,55.21,8.85
7388,2376,0.51,2327,129,46.23,10.75
7389,1412,3.22,1246,171,69.92,8.04
7412,613,0.49,629,186,36.92,2.94
7414,1437,0.14,1434,207,49.31,3.62
7419,1105,0.64,1106,213,46.02,5.86
7420,1886,0.16,1898,204,48.09,5.23
7421,1631,-0.31,1604,129,68.05,2.2
7427,877,-0.45,888,177,42.93,3.52
7433,4320,0.7,4237,169,56.05,5.58
7438,1548,0.32,1495,185,63.23,3.27
7442,491,2.29,472,266,59.18,3.24
7445,333,0.0,314,0,96.67,3.99
7447,1717,0.47,1719,123,48.06,2.53
7453,3440,0.97,3557,111,42.9,12.74
7455,6705336320,0.17,6697795737,0,55.56,0.7
7456,6510,0.0,7335,119,28.88,10.05
7458,1715,1.15,1685,191,54.84,3.45
7459,2941,1.0,2896,181,50.43,3.51
7466,1308,1.59,1306,174,51.4,9.28
7467,3685,0.14,3713,98,46.67,5.69
7475,2591,-0.92,2635,140,32.46,2.27
7476,2257,0.09,2272,177,37.28,4.27
7480,1784,0.79,1769,160,52.22,4.04
7481,2627,-0.19,2656,361,41.69,3.98
7482,1422,0.35,1420,269,51.94,3.56
7483,3455,-0.58,3507,155,38.93,3.39
7487,1841,0.05,1844,163,50.56,2.76
7494,244,-0.41,245,276,45.45,3.69
7504,3195,0.79,3213,141,45.0,4.47
7506,1420,-1.05,1427,290,44.9,10.13
7508,1388,0.43,1401,114,42.25,3.72
7510,2463,0.12,2505,106,41.83,8.82
7512,898,0.79,876,169,68.83,2.32
7513,1335,-0.3,1326,113,55.17,7.63
7516,4095,0.37,4159,172,42.97,3.57
7520,2604,-0.5,2719,118,32.49,4.12
7522,972,0.52,952,175,53.96,3.15
7525,3565,-1.38,3646,202,41.25,4.83
7527,54,1.89,55,53,45.0,8.7
7532,983,1.25,1009,154,25.28,5.8
7537,1161,0.26,1164,172,46.8,5.09
7544,554,-0.72,566,63,40.0,5.65
7545,2104,-0.38,2117,122,44.67,2.57
7550,9600,1.53,9584,193,41.93,6.26
7552,2831,1.8,2981,176,26.81,7.13
7561,706,-0.28,735,112,31.2,15.68
7564,6290,0.64,6750,86,33.33,8.4
7575,1429,1.06,1448,252,37.12,3.43
7581,6770,0.45,6699,96,50.32,12.17
7593,510,-0.39,526,191,33.33,2.82
7595,1520,0.13,1533,141,43.32,6.12
7599,1282,-0.54,1335,98,41.1,13.87
7600,579,0.17,602,62,30.0,17.65
7606,2494,0.85,2565,153,35.63,5.81
7607,3150,-0.16,3154,187,49.54,4.05
7609,2866,0.0,2870,211,48.05,6.01
7611,2995,0.37,3000,143,44.95,5.96
7613,1230,0.24,1248,75,39.02,5.11
7616,1963,2.83,1891,161,72.17,2.96
7630,931,1.2,904,321,75.38,2.16
7637,2619,1.2,2570,331,51.62,9.65
7649,3464,1.64,3479,91,47.35,8.02
7670,1082,0.93,1114,171,35.23,17.75
7679,1943,-0.87,1991,170,41.98,3.83
7683,1364,0.74,1355,198,52.52,2.25
7685,3155,1.94,3142,118,50.89,13.24
7694,574,0.35,586,48,39.88,19.74
7701,3855,0.23,3913,105,42.04,3.79
7702,443,2.31,436,137,56.1,3.29
7707,220,1.85,222,89,44.54,15.25
7715,2854,-2.33,2897,120,44.83,7.1
7717,4530,-2.58,4516,127,50.84,13.75
7718,19048443904,0.23,19012975820,0,58.33,0.82
7721,6990,-4.25,8132,142,32.58,12.31
7723,3015,-0.17,3084,149,42.1,14.67
7725,1404,1.08,1405,125,50.1,8.96
7729,14190,-3.01,15155,167,37.98,16.79
7730,1579,2.4,1557,148,47.44,11.08
7731,1968,0.61,1946,106,49.58,7.62
7733,1530,6.84,1394,285,68.82,7.3
7734,3140,-2.18,3322,176,36.94,7.71
7735,9540,-2.43,9953,112,38.86,10.21
7740,1018,0.0,1005,147,52.35,4.23
7741,27280,-2.88,27835,149,41.01,6.9
7743,625,2.63,574,110,67.33,13.49
7744,2076,-2.85,2148,178,37.63,6.88
7745,2631,0.04,2645,180,43.07,10.38
7747,3355,2.32,3230,88,53.57,17.77
7751,4440,0.95,4461,154,43.08,3.42
7752,1369,1.41,1371,59,49.11,7.13
7762,1778,-0.39,1724,135,52.35,15.37
7775,464,0.65,466,84,42.86,3.82
7776,306,2.0,326,26,36.81,20.63
7777,441,2.8,577,112,29.53,20.0
7779,287,0.7,320,67,40.35,18.85
7780,1782,1.83,1744,163,51.3,6.02
7794,1314,29.59,1233,47,55.14,29.59
7806,6470,7.83,6010,185,63.35,15.45
7818,1180,-1.01,1246,157,34.44,9.07
7820,815,0.0,821,141,45.87,2.86
7821,1960,0.82,2067,108,24.52,5.26
7823,825,0.24,814,182,60.24,2.81
7826,6370,-3.63,7001,128,41.23,21.75
7832,4022,0.3,4158,119,37.62,6.39
7839,1652,1.1,1649,160,45.49,4.62
7844,478,1.7,477,209,46.67,12.53
7846,4772,-0.89,4623,127,66.45,3.11
7856,1739,0.52,1750,206,42.69,3.49
7859,247,4.22,253,143,38.12,35.78
7860,1218,1.33,1203,154,51.7,5.45
7864,2617,-0.83,2698,194,42.22,4.88
7867,2768,0.64,2780,158,47.93,3.83
7868,481,1.26,482,298,50.0,5.59
7874,1147,-1.04,1159,205,39.32,14.2
7888,877,-1.24,933,120,34.77,16.26
7893,1124,-0.18,1140,184,40.78,2.61
7906,3175,-2.01,3389,148,30.16,8.26
7911,4553,-1.9,5031,139,28.33,9.41
7912,2906,0.69,3028,107,38.75,7.99
7915,1278,0.71,1278,179,45.67,5.14
7917,1337,0.68,1369,189,41.93,16.54
7921,3840,0.79,3945,158,34.67,5.56
7925,2255,1.71,2283,192,43.01,6.1
7936,4306,-1.31,4471,170,38.66,12.93
7942,2405,0.38,2509,164,40.91,12.11
7943,3335,0.76,3352,100,46.99,9.88
7944,3980,0.25,3927,160,51.02,5.16
7947,2422,-0.29,2475,111,37.39,4.84
7949,2726,0.11,2788,134,40.57,3.9
7951,1138,0.62,1128,139,52.27,4.78
7955,966,-0.82,1028,114,36.27,10.97
7956,1633,1.08,1624,145,47.87,3.92
7962,818,0.62,813,191,54.0,1.12
7965,1526,-0.07,1544,144,39.42,2.91
7966,4720,-0.42,4917,168,37.13,6.53
7970,2025,-0.74,2078,125,42.86,4.96
7971,691,0.14,723,120,31.71,5.38
7972,3250,-0.46,3401,73,42.13,19.09
7974,9215,2.5,9271,128,58.25,10.64
7976,2410,1.56,2344,95,59.34,6.69
7981,2855,-0.1,2856,143,51.79,5.82
7984,852,1.96,850,227,43.95,3.34
7988,4551,-0.2,4775,123,34.97,3.92
7990,2170,0.0,2211,198,40.24,2.86
7994,2566,0.23,2592,146,43.36,5.42
7995,4870,0.93,4884,227,45.21,9.32
8001,2062,0.02,2084,154,47.81,5.33
8002,5751,1.59,5549,169,57.95,7.52
8005,1336,0.23,1338,212,44.79,2.84
8008,1814,0.61,1806,109,50.0,3.79
8011,3975,1.92,3990,182,45.7,9.75
8012,1180,-0.13,1154,170,54.41,7.31
8015,6191,-0.39,6391,126,48.1,8.57
8016,733,0.41,760,98,27.74,4.32
8020,2328,0.65,2274,106,50.12,5.72
8022,3400,-1.02,3577,159,33.33,10.31
8031,6540,2.35,6038,165,60.33,8.29
8035,39290,-3.06,40353,132,41.57,9.1
8037,3345,-0.15,3192,186,60.11,5.07
8050,5950,0.51,6208,91,41.65,20.97
8051,1423,0.78,1453,218,40.51,7.81
8052,2845,-0.52,2883,316,43.52,3.67
8053,5991,1.77,5877,186,52.89,5.68
8056,4700,2.02,4618,122,58.19,4.48
8057,2027,-0.54,2045,98,49.89,4.64
8058,5762,1.89,5298,179,66.02,8.65
8059,3335,0.15,3349,162,45.66,5.42
8060,3465,0.25,3453,135,48.98,3.45
8061,2678,-1.14,2584,102,53.79,11.17
8065,2430,-0.45,2392,137,54.99,5.97
8074,6050,0.83,6045,224,46.2,5.53
